# Fri Mar 22 16:25:06 2024
#iter,start_t0,scanf(),checkExit,loopIter,fillChar,solvePos,filltoSend,sent,total
293,0.00,0.07,0.01,0.72,0.04,0.01,0.01,0.01,0.86
294,0.00,0.09,0.01,0.52,0.04,0.01,0.01,0.00,0.68
295,0.00,0.08,0.01,0.49,0.03,0.01,0.01,0.00,0.63
296,0.00,0.09,0.01,0.54,0.04,0.01,0.01,0.01,0.70
297,0.00,0.08,0.01,0.39,0.02,0.01,0.01,0.00,0.51
298,0.00,0.08,0.01,0.44,0.03,0.01,0.01,0.00,0.57
299,0.00,0.14,0.02,1.29,0.09,0.02,0.01,0.01,1.59
300,0.00,0.12,0.03,0.55,0.04,0.01,0.01,0.00,0.77
301,0.00,0.14,0.01,2.63,0.04,0.01,0.01,0.01,2.85
302,0.00,0.10,0.01,0.48,0.04,0.01,0.01,0.00,0.65
303,0.00,0.09,0.01,0.41,0.03,0.01,0.01,0.00,0.55
304,0.00,0.15,0.03,0.94,0.04,0.01,0.01,0.00,1.18
305,0.00,0.17,0.02,0.61,0.06,0.02,0.01,0.01,0.90
306,0.00,0.10,0.01,0.50,0.03,0.01,0.01,0.01,0.67
307,0.00,0.10,0.01,0.59,0.04,0.01,0.01,0.00,0.76
308,0.00,0.09,0.01,3.75,0.07,0.01,0.01,0.01,3.95
309,0.00,0.10,0.01,0.55,0.01,0.01,0.03,0.01,0.71
310,0.00,0.08,0.01,0.01,0.00,0.01,0.02,0.00,0.12
311,0.00,0.08,0.01,0.44,0.01,0.01,0.02,0.00,0.57
312,0.00,0.08,0.01,4.75,0.04,0.01,0.07,0.01,4.98
313,0.00,0.08,0.01,0.38,0.02,0.01,0.01,0.00,0.51
314,0.00,0.12,0.01,0.81,0.09,0.02,0.01,0.01,1.07
315,0.00,0.19,0.02,0.58,0.05,0.01,0.01,0.00,0.87
316,0.00,0.13,0.01,0.57,0.05,0.01,0.01,0.01,0.79
317,0.00,0.08,0.01,0.62,0.07,0.01,0.01,0.01,0.82
318,0.00,0.13,0.03,0.38,0.03,0.01,0.01,0.00,0.58
319,0.00,0.23,0.03,0.73,0.07,0.02,0.01,0.01,1.10
320,0.00,0.16,0.01,0.56,0.04,0.01,0.01,0.01,0.81
321,0.00,0.19,0.02,2.41,0.04,0.01,0.01,0.00,2.68
322,0.00,0.11,0.01,0.55,0.03,0.01,0.01,0.00,0.73
323,0.00,0.09,0.01,0.42,0.02,0.01,0.01,0.00,0.56
324,0.00,0.18,0.01,1.86,0.04,0.01,0.01,0.00,2.11
325,0.00,1.11,0.02,0.90,0.08,0.02,0.01,0.01,2.15
326,0.00,0.17,0.03,0.52,0.03,0.01,0.01,0.00,0.79
327,0.00,0.09,0.01,0.51,0.03,0.01,0.01,0.00,0.67
328,0.00,0.26,0.07,0.69,0.09,0.03,0.02,0.01,1.16
329,0.00,0.09,0.01,0.01,0.02,0.01,0.01,0.00,0.16
330,0.00,0.08,0.01,0.45,0.03,0.01,0.01,0.00,0.59
331,0.00,0.08,0.01,0.29,0.02,0.01,0.01,0.00,0.43
332,0.00,0.09,0.01,0.47,0.04,0.01,0.01,0.00,0.64
333,0.00,0.09,0.01,0.56,0.04,0.01,0.01,0.00,0.71
334,0.00
