Z,Roll,Pitch,Area
-45,-15,0,0.9206917113893858
-40,-15,0,0.9448419797257006
-35,-15,0,0.9645199761478831
-30,-15,0,0.9798747763864043
-25,-15,0,0.9909063804412641
-20,-15,0,0.9976147883124628
-15,-15,0,1.0
-10,-15,0,1.0
-5,-15,0,1.0
0,-15,0,0.9953129724826126
5,-15,0,0.980344723314182
10,-15,0,0.9608406410644088
15,-15,0,0.9369519201693378
20,-15,0,0.9086785606289689
25,-15,0,0.8761717568793468
30,-15,0,0.8391291200483822
35,-15,0,0.7977018445721198
40,-15,0,0.7520411248866041
45,-15,0,0.701844572119746
50,-15,0,0.6474145751436348
55,-15,0,0.5884487450861808
60,-15,0,0.5250982763834291
65,-15,0,0.45751436347142427
70,-15,0,0.3853946174780768
75,-15,0,0.3090414272754763
-80,-10,0,0.6273057151496825
-75,-10,0,0.6823404898699728
-70,-10,0,0.7328394315089205
-65,-10,0,0.779104928938615
-60,-10,0,0.8208345932869671
-55,-10,0,0.8583308134260659
-50,-10,0,0.891442394919867
-45,-10,0,0.9200181433323253
-40,-10,0,0.9443604475355307
-35,-10,0,0.9641669186573935
-30,-10,0,0.979739945570003
-25,-10,0,0.9909283338373148
-20,-10,0,0.9977320834593287
-15,-10,0,1.0
-10,-10,0,1.0
-5,-10,0,1.0
0,-10,0,0.9970800676194868
5,-10,0,0.9815583218072844
10,-10,0,0.9617335177501153
15,-10,0,0.9374519747963731
20,-10,0,0.9087136929460581
25,-10,0,0.8755186721991701
30,-10,0,0.8377132319041033
35,-10,0,0.7956047333640694
40,-10,0,0.7490394959274628
45,-10,0,0.698017519594283
50,-10,0,0.6425388043645305
55,-10,0,0.582603350238205
60,-10,0,0.5182111572153066
65,-10,0,0.44936222529583525
70,-10,0,0.37605655447979097
75,-10,0,0.2982941447671738
80,-10,0,0.2160749961579837
-85,-5,0,0.5618564622714001
-80,-5,0,0.6220992777009374
-75,-5,0,0.677885354233902
-70,-5,0,0.7292146918702935
-65,-5,0,0.7760872906101122
-60,-5,0,0.818503150453358
-55,-5,0,0.8566159520516367
-50,-5,0,0.8901183341017366
-45,-5,0,0.9191639772552636
-40,-5,0,0.9437528815122176
-35,-5,0,0.9638850468725988
-30,-5,0,0.979560473336407
-25,-5,0,0.9907791609036423
-20,-5,0,0.9976947902259106
-15,-5,0,1.0
-10,-5,0,1.0
-5,-5,0,1.0
0,-5,0,0.9989038521766364
5,-5,0,0.9830880050109615
10,-5,0,0.9627309740056373
15,-5,0,0.9379893517068587
20,-5,0,0.9085499530222362
25,-5,0,0.8745693704979643
30,-5,0,0.836204196680238
35,-5,0,0.7931412464766677
40,-5,0,0.7455371124334481
45,-5,0,0.6935483870967742
50,-5,0,0.6368618853742561
55,-5,0,0.5757907923582838
60,-5,0,0.5100219229564673
65,-5,0,0.43986846226119636
70,-5,0,0.36501722518008145
75,-5,0,0.28562480425931724
80,-5,0,0.20184779204509865
85,-5,0,0.11337300344503602
-90,0,0,0.4888819292201691
-85,0,0,0.5548073911681803
-80,0,0,0.6160350767303476
-75,0,0,0.6728781709990604
-70,0,0,0.7250234888819292
-65,0,0,0.7727842154713436
-60,0,0,0.8158471656749139
-55,0,0,0.8545255245850297
-50,0,0,0.8886626996554964
-45,0,0,0.918102098340119
-40,0,0,0.9431569057312872
-35,0,0,0.9636705292828062
-30,0,0,0.979486376448481
-25,0,0,0.9909176323207015
-20,0,0,0.9978077043532728
-15,0,0,1.0
-10,0,0,1.0
-5,0,0,1.0
0,0,0,1.0
5,0,0,0.9844874460259075
10,0,0,0.9635375019990404
15,0,0,0.9381097073404766
20,0,0,0.9080441388133695
25,0,0,0.8733407964177194
30,0,0,0.8339996801535263
35,0,0,0.7900207900207901
40,0,0,0.7412442027826643
45,0,0,0.6879897649128418
50,0,0,0.6300975531744762
55,0,0,0.5675675675675675
60,0,0,0.5003998080921158
65,0,0,0.4285942747481209
70,0,0,0.3521509675355829
75,0,0,0.27106988645450186
80,0,0,0.18535103150487767
85,0,0,0.09499440268671037
90,0,0,0.0
-85,5,0,0.5462977770670079
-80,5,0,0.6088277626739165
-75,5,0,0.6667199744122821
-70,5,0,0.7199744122821046
-65,5,0,0.768591076283384
-60,5,0,0.8125699664161202
-55,5,0,0.8519110826803135
-50,5,0,0.8867743483128099
-45,5,0,0.9168399168399168
-40,5,0,0.9422677114984808
-35,5,0,0.9630577322885016
-30,5,0,0.9792099792099792
-25,5,0,0.9907244522629138
-20,5,0,0.9977610746841516
-15,5,0,1.0
-10,5,0,1.0
-5,5,0,1.0
0,5,0,1.0
5,5,0,0.9859154929577465
10,5,0,0.964461185718965
15,5,0,0.938421225024566
20,5,0,0.9074680641991484
25,5,0,0.8717654765804127
30,5,0,0.8314772355060596
35,5,0,0.7862757943006878
40,5,0,0.7363249263019981
45,5,0,0.6817884048476908
50,5,0,0.6223386832623649
55,5,0,0.5583033082214216
60,5,0,0.48935473304945953
65,5,0,0.4158205044218801
70,5,0,0.337373075663282
75,5,0,0.2543399934490665
80,5,0,0.1663937111038323
85,5,0,0.07386177530298067
-80,10,0,0.6005568293481821
-75,10,0,0.6596790042581068
-70,10,0,0.714215525712414
-65,10,0,0.7638388470357026
-60,10,0,0.8088765149033738
-55,10,0,0.8491647559777268
-50,10,0,0.8845397969210612
-45,10,0,0.9153291844087782
-40,10,0,0.9413691451031772
-35,10,0,0.9624959056665575
-30,10,0,0.9790370127743203
-25,10,0,0.9908286930887652
-20,10,0,0.9977071732721913
-15,10,0,1.0
-10,10,0,1.0
-5,10,0,1.0
0,10,0,1.0
5,10,0,0.9873864783047427
10,10,0,0.9653548604103599
15,10,0,0.9384460141271443
20,10,0,0.9066599394550958
25,10,0,0.8699966363942147
30,10,0,0.8284561049445005
35,10,0,0.7818701648166835
40,10,0,0.7305751765893037
45,10,0,0.6744029599730912
50,10,0,0.6133535149680458
55,10,0,0.5474268415741675
60,10,0,0.4766229397914564
65,10,0,0.40094180961991255
70,10,0,0.3203834510595358
75,10,0,0.23494786411032628
